Latitude,Longitude ,Address,Type,Name,Link,Paragraph text,Photograph,Status,Units,Market Rate,Affordable,Rent,Own,Parking,Stories,Height (ft),Notes,Community edit?
42.2912906,-71.07772,25 New England Avenue,Construction Project,n/a,http://www.bostonplans.org/projects/development-projects/25-new-england-avenue,Codman Square Neighborhood Development Corporation proposes the construction of 23 affordable rental units with 12 parking spaces at 25 New England Avenue in the Codman Square Neighborhood of Dorchester.,http://www.bostonplans.org/getattachment/6e30b851-421e-4e1b-ac16-afa7a1b64190/,Board Approved,23,,23,23,,12,4,42,,
42.28133411,-71.08455304,872 Morton Street,Construction Project,Morton Station Village,http://www.bostonplans.org/projects/development-projects/morton-station-village,"Morton Station Village is a new construction development consisting of 40 units of mixed-income affordable and workforce housing, of which thirty-one (31) units will be rental units for households with incomes of 30% AMI to 100% AMI and nine (9) units will be deed-restricted affordable condominium units for households with incomes of 80% AMI to 100% AMI. The Proposed Development will be adjacent to the Steven P. Odom Serenity Garden.",http://www.bostonplans.org/getattachment/e2a9deeb-bf05-41e3-b1db-60414a7fda04/,Board Approved,40,,,31,9,30,4,54,,
42.28903392,-71.0901194,1047-1051 Blue Hill Avenue,Construction Project,Brookview House II,http://www.bostonplans.org/projects/development-projects/brookview-house-ii,proposing to develop sixteen (16) units of permanent affordable rental housing for homeless families with supportive services.,,Under Construction,16,,16,16,,,,,Extremely low income,
42.28850232,-71.09145625,35 Hansborough Street,Construction Project,Brookview House III,https://courbanize.com/projects/dnd-brookview-house-iii/information,"a low-income, three-story building with twelve (12) residential rental units, program space and two (2) on-site/off-street parking spaces. Project in conjunction with the City of Boston Department of Neighborhood Development.",http://www.bostonplans.org/getattachment/739582b2-a227-4aaf-b2d5-64cf5b7be1c7/,Construction Complete,12,,12,12,,2,,,Extremely low income,
42.2767857,-71.0690698,1120-1132 Washington Street,Construction Project,n/a,http://www.bostonplans.org/projects/development-projects/1120-1132-washington-street,"Old Molloy Funeral home in Lower Mills. 57 units proposed, to be determined if condos or rentals",http://www.bostonplans.org/getattachment/490d5aa6-197a-4bb0-829c-340c295757a4/,Under Review,57,50,7,TBD,TBD,94,4,40,in Dorchester ,
42.28361364,-71.09164692,1199-1203 Blue Hill Avenue,Construction Project,n/a,http://www.bostonplans.org/projects/development-projects/1199-1203-blue-hill-avenue,"A mixed use and commercial development, in which the preliminary unit breakdown is sixteen (16) one-bedroom units and sixteen (16) two-bedroom units.",http://www.bostonplans.org/getattachment/2dcb82bf-b9b2-418b-bb2a-ef81650cae94/,Under Review,32,28,4,32,,32,5,58,,yes 
42.2713417,-71.09065851,150 River Street,Construction Project,n/a,http://www.bostonplans.org/projects/development-projects/150-river-street,"The proposed project consists of an elderly affordable rental complex, along with a publicly accessible shade garden, multi-season screened porch, and indoor community room, living room common area, and laundry.",http://www.bostonplans.org/getattachment/164af937-b9c1-496c-b299-d2e310121984/,Board Approved,30,,30,30,,12,3,42,Elderly affordable,
42.26940973,-71.09065851,422 River Street,Construction Project,n/a,http://www.bostonplans.org/projects/development-projects/422-river-street,Proposal calls for 27 rental units and off-street parking for 22 vehicles.,https://photos.zillowstatic.com/fp/b8ed8a9e019a8e84cc73788096ce1e45-cc_ft_384.jpg,Construction Complete,27,23,4,27,,22,4,,,yes
42.26800181,-71.09265894,500 River Street,Construction Project,Mattapan Station,https://mattapanstation.org/,"The proposed program for this $57 Million project involves the construction of 135 units of mixed-income rental apartment housing in Building 1, along with 10,000 square feet of commercial/retail space, and a 2,000 square foot community room on the ground floor. The development program also includes the future construction of a second building comprised of 9 homeownership units. In total, the proposed Project comprises 165,750 gross square feet (inclusive of residential floors.) This innovative transit-oriented development project will provide critically needed affordable and market-rate housing in the Mattapan community. Just as importantly, residents of the complex will have a variety of transportation options, including public trainsit, ride-share, and bike-share, along with direct access to the Neponset River Greenway, which will substantially enhance their quality of life with the provision of passive and active recreational opportunities.",http://mattapanstation.org/wp-content/uploads/2018/07/Mattapan-Rendering-2.png,Board Approved,144,76,68,135,9,70,4,44,POAH/Nuestra Comunidad,
42.2708886,-71.09597434,30-32 Regis Road,Construction Project,Cote Village,http://www.bostonplans.org/projects/development-projects/cote-village,"Construct 76 units with rental office and community room, 4,172 SF of ground-floor commercial space, including a 12,000 SF public plaza with a total of 84 parking spaces.",http://www.bostonplans.org/getattachment/bf888999-b46f-4999-8100-815c02a2b328/,Board Approved,76,8,68,,,84,,,Caribbean Integration CDC/POAH,
